endpoint,population,age
Body Mass,Healthy,-1.177318664
Fasting Glucose,Healthy,-1.177318664
Fasting Insulin,Healthy,-1.177318664
HOMA-IR,Healthy,-1.177318664
Body Mass,Healthy,-1.209020318
VO2max,Healthy,-1.209020318
Body Mass,Healthy,-1.57737074
Body Mass,Healthy,-1.57737074
BMI,Healthy,-1.517611347
Body Fat,Healthy,-1.517611347
Body Mass,Healthy,-1.517611347
Fasting Glucose,Healthy,-1.517611347
HDL,Healthy,-1.517611347
HOMA-IR,Healthy,-1.517611347
Total Cholesterol,Healthy,-1.517611347
VO2max,Healthy,-1.517611347
Body Mass,Healthy,-1.359108315
Body Mass,Healthy,-1.359108315
HDL,Healthy,-1.359108315
LDL,Healthy,-1.359108315
Total Cholesterol,Healthy,-1.359108315
Triglycerides,Healthy,-1.359108315
VO2max,Healthy,-1.359108315
VO2max,Healthy,-1.359108315
BMI,Healthy,0.194021973
Body Fat,Healthy,0.194021973
Body Mass,Healthy,0.194021973
Diastolic Blood Pressure,Healthy,0.194021973
Fasting Glucose,Healthy,0.194021973
Fasting Insulin,Healthy,0.194021973
HbA1c,Healthy,0.194021973
HDL,Healthy,0.194021973
LDL,Healthy,0.194021973
Systolic Blood Pressure,Healthy,0.194021973
Total Cholesterol,Healthy,0.194021973
Triglycerides,Healthy,0.194021973
VO2max,Healthy,0.194021973
BMI,T2D,0.1575857541
Body Fat,T2D,0.1575857541
Body Mass,T2D,0.1575857541
Diastolic Blood Pressure,T2D,0.1575857541
Fasting Glucose,T2D,0.1575857541
Fasting Insulin,T2D,0.1575857541
HbA1c,T2D,0.1575857541
HDL,T2D,0.1575857541
LDL,T2D,0.1575857541
Systolic Blood Pressure,T2D,0.1575857541
Total Cholesterol,T2D,0.1575857541
Triglycerides,T2D,0.1575857541
VO2max,T2D,0.1575857541
C-reactive Protein,Healthy,-1.426704598
HOMA-IR,Healthy,-1.426704598
BMI,Metabolic Syndrome,0.4406320502
Body Mass,Metabolic Syndrome,0.4406320502
Diastolic Blood Pressure,Metabolic Syndrome,0.4406320502
Fasting Glucose,Metabolic Syndrome,0.4406320502
Flow-mediated Dilation,Metabolic Syndrome,0.4406320502
HDL,Metabolic Syndrome,0.4406320502
LDL,Metabolic Syndrome,0.4406320502
Body Fat,Overweight/obese,-0.1302896147
Body Mass,Overweight/obese,-0.1302896147
C-reactive Protein,Overweight/obese,-0.1302896147
Diastolic Blood Pressure,Overweight/obese,-0.1302896147
Fasting Glucose,Overweight/obese,-0.1302896147
Fasting Insulin,Overweight/obese,-0.1302896147
HDL,Overweight/obese,-0.1302896147
LDL,Overweight/obese,-0.1302896147
Systolic Blood Pressure,Overweight/obese,-0.1302896147
Total Cholesterol,Overweight/obese,-0.1302896147
Triglycerides,Overweight/obese,-0.1302896147
VO2max,Overweight/obese,-0.1302896147
Diastolic Blood Pressure,Cardiac Rehabilitation,1.057677547
Systolic Blood Pressure,Cardiac Rehabilitation,1.057677547
VO2max,Cardiac Rehabilitation,1.057677547
C-reactive Protein,Cardiac Rehabilitation,1.026855677
HDL,Cardiac Rehabilitation,1.026855677
VO2max,Cardiac Rehabilitation,1.026855677
Body Mass,Healthy,1.447380646
Diastolic Blood Pressure,Healthy,1.447380646
Flow-mediated Dilation,Healthy,1.447380646
Systolic Blood Pressure,Healthy,1.447380646
VO2max,Healthy,1.447380646
Fasting Glucose,Healthy,-1.249383861
BMI,Overweight/obese,0.3112715083
BMI,Overweight/obese,0.3112715083
Body Fat,Overweight/obese,0.3112715083
Body Fat,Overweight/obese,0.3112715083
Diastolic Blood Pressure,Overweight/obese,0.3112715083
Diastolic Blood Pressure,Overweight/obese,0.3112715083
HDL,Overweight/obese,0.3112715083
HDL,Overweight/obese,0.3112715083
HOMA-IR,Overweight/obese,0.3112715083
HOMA-IR,Overweight/obese,0.3112715083
Systolic Blood Pressure,Overweight/obese,0.3112715083
Systolic Blood Pressure,Overweight/obese,0.3112715083
Triglycerides,Overweight/obese,0.3112715083
VO2max,Overweight/obese,0.3112715083
VO2max,Overweight/obese,0.3112715083
Body Fat,Healthy,-1.42059152
Body Mass,Healthy,-1.42059152
BMI,Cardiac Rehabilitation,0.980723723
C-reactive Protein,Cardiac Rehabilitation,0.980723723
Fasting Glucose,Cardiac Rehabilitation,0.980723723
HbA1c,Cardiac Rehabilitation,0.980723723
HDL,Cardiac Rehabilitation,0.980723723
LDL,Cardiac Rehabilitation,0.980723723
Total Cholesterol,Cardiac Rehabilitation,0.980723723
Triglycerides,Cardiac Rehabilitation,0.980723723
VO2max,Cardiac Rehabilitation,0.980723723
BMI,T2D,1.861025017
Body Fat,T2D,1.861025017
Body Mass,T2D,1.861025017
Fasting Glucose,T2D,1.861025017
HbA1c,T2D,1.861025017
HDL,T2D,1.861025017
LDL,T2D,1.861025017
Total Cholesterol,T2D,1.861025017
Triglycerides,T2D,1.861025017
Body Mass,Overweight/obese,-0.7894248911
VO2max,Overweight/obese,-0.7894248911
BMI,Healthy,-1.068459749
Body Fat,Healthy,-1.068459749
Body Mass,Healthy,-1.068459749
Diastolic Blood Pressure,Healthy,-1.068459749
Systolic Blood Pressure,Healthy,-1.068459749
Body Fat,Metabolic Syndrome,0.194021973
Body Mass,Metabolic Syndrome,0.194021973
Diastolic Blood Pressure,Metabolic Syndrome,0.194021973
Fasting Glucose,Metabolic Syndrome,0.194021973
Fasting Insulin,Metabolic Syndrome,0.194021973
HbA1c,Metabolic Syndrome,0.194021973
HDL,Metabolic Syndrome,0.194021973
HOMA-IR,Metabolic Syndrome,0.194021973
LDL,Metabolic Syndrome,0.194021973
Systolic Blood Pressure,Metabolic Syndrome,0.194021973
Total Cholesterol,Metabolic Syndrome,0.194021973
BMI,T2D,1.251515539
Body Fat,T2D,1.251515539
Body Mass,T2D,1.251515539
Diastolic Blood Pressure,T2D,1.251515539
Fasting Glucose,T2D,1.251515539
Flow-mediated Dilation,T2D,1.251515539
HDL,T2D,1.251515539
HOMA-IR,T2D,1.251515539
LDL,T2D,1.251515539
Systolic Blood Pressure,T2D,1.251515539
Total Cholesterol,T2D,1.251515539
Triglycerides,T2D,1.251515539
VO2max,T2D,1.251515539
Diastolic Blood Pressure,Overweight/obese,0.6086246419
Flow-mediated Dilation,Overweight/obese,0.6086246419
VO2max,Overweight/obese,0.6086246419
BMI,Overweight/obese,-0.3418030372
Body Fat,Overweight/obese,-0.3418030372
Body Mass,Overweight/obese,-0.3418030372
BMI,Healthy,0.2305559984
Body Fat,Healthy,0.2305559984
Fasting Glucose,Healthy,0.2305559984
Fasting Insulin,Healthy,0.2305559984
HbA1c,Healthy,0.2305559984
HDL,Healthy,0.2305559984
LDL,Healthy,0.2305559984
Total Cholesterol,Healthy,0.2305559984
Triglycerides,Healthy,0.2305559984
VO2max,Healthy,0.2305559984
BMI,Healthy,-1.535611527
Body Fat,Healthy,-1.535611527
Body Mass,Healthy,-1.535611527
C-reactive Protein,Healthy,-1.535611527
HDL,Healthy,-1.535611527
Total Cholesterol,Healthy,-1.535611527
VO2max,Healthy,-1.535611527
BMI,Healthy,-1.57737074
Body Fat,Healthy,-1.57737074
Body Mass,Healthy,-1.57737074
VO2max,Healthy,-1.57737074
VO2max,Healthy,-1.209020318
Body Fat,Metabolic Syndrome,0.8659288676
Body Mass,Metabolic Syndrome,0.8659288676
Diastolic Blood Pressure,Metabolic Syndrome,0.8659288676
Fasting Glucose,Metabolic Syndrome,0.8659288676
HbA1c,Metabolic Syndrome,0.8659288676
HDL,Metabolic Syndrome,0.8659288676
HOMA-IR,Metabolic Syndrome,0.8659288676
Systolic Blood Pressure,Metabolic Syndrome,0.8659288676
Triglycerides,Metabolic Syndrome,0.8659288676
VO2max,Metabolic Syndrome,0.8659288676
BMI,Metabolic Syndrome,0.8278356461
Body Fat,Metabolic Syndrome,0.8278356461
Body Mass,Metabolic Syndrome,0.8278356461
Diastolic Blood Pressure,Metabolic Syndrome,0.8278356461
Fasting Glucose,Metabolic Syndrome,0.8278356461
HDL,Metabolic Syndrome,0.8278356461
LDL,Metabolic Syndrome,0.8278356461
Systolic Blood Pressure,Metabolic Syndrome,0.8278356461
Total Cholesterol,Metabolic Syndrome,0.8278356461
Triglycerides,Metabolic Syndrome,0.8278356461
VO2max,Metabolic Syndrome,0.8278356461
BMI,Metabolic Syndrome,0.5262631421
Body Mass,Metabolic Syndrome,0.5262631421
Fasting Glucose,Metabolic Syndrome,0.5262631421
Fasting Insulin,Metabolic Syndrome,0.5262631421
HOMA-IR,Metabolic Syndrome,0.5262631421
VO2max,Metabolic Syndrome,0.5262631421
Body Mass,Cardiac Rehabilitation,1.298340545
Diastolic Blood Pressure,Cardiac Rehabilitation,1.298340545
Systolic Blood Pressure,Cardiac Rehabilitation,1.298340545
VO2max,Cardiac Rehabilitation,1.298340545
BMI,Healthy,-1.321915886
Body Fat,Healthy,-1.321915886
Body Mass,Healthy,-1.321915886
Fasting Glucose,Healthy,-1.321915886
Fasting Insulin,Healthy,-1.321915886
HDL,Healthy,-1.321915886
HOMA-IR,Healthy,-1.321915886
LDL,Healthy,-1.321915886
Total Cholesterol,Healthy,-1.321915886
Triglycerides,Healthy,-1.321915886
VO2max,Healthy,-1.321915886
BMI,Overweight/obese,-0.671831842
Body Fat,Overweight/obese,-0.671831842
Body Mass,Overweight/obese,-0.671831842
C-reactive Protein,Overweight/obese,-0.671831842
Fasting Glucose,Overweight/obese,-0.671831842
Fasting Insulin,Overweight/obese,-0.671831842
Flow-mediated Dilation,Overweight/obese,-0.671831842
HDL,Overweight/obese,-0.671831842
HOMA-IR,Overweight/obese,-0.671831842
LDL,Overweight/obese,-0.671831842
Total Cholesterol,Overweight/obese,-0.671831842
VO2max,Overweight/obese,-0.671831842
Body Mass,Healthy,-1.57737074
BMI,Healthy,-1.547577378
Body Mass,Healthy,-1.547577378
BMI,T2D,0.3039145239
Body Fat,T2D,0.3039145239
Body Mass,T2D,0.3039145239
Fasting Glucose,T2D,0.3039145239
Fasting Insulin,T2D,0.3039145239
HbA1c,T2D,0.3039145239
VO2max,T2D,0.3039145239
BMI,Overweight/obese,-0.4322327959
Body Fat,Overweight/obese,-0.4322327959
Diastolic Blood Pressure,Overweight/obese,-0.4322327959
Fasting Glucose,Overweight/obese,-0.4322327959
Fasting Insulin,Overweight/obese,-0.4322327959
HOMA-IR,Overweight/obese,-0.4322327959
Systolic Blood Pressure,Overweight/obese,-0.4322327959
VO2max,Overweight/obese,-0.4322327959
BMI,Metabolic Syndrome,0.6537335473
Body Mass,Metabolic Syndrome,0.6537335473
Diastolic Blood Pressure,Metabolic Syndrome,0.6537335473
Fasting Glucose,Metabolic Syndrome,0.6537335473
Fasting Insulin,Metabolic Syndrome,0.6537335473
HDL,Metabolic Syndrome,0.6537335473
Triglycerides,Metabolic Syndrome,0.6537335473
Body Fat,Healthy,-1.535611527
Body Mass,Healthy,-1.535611527
Fasting Glucose,Healthy,-1.535611527
Fasting Insulin,Healthy,-1.535611527
HOMA-IR,Healthy,-1.535611527
BMI,Overweight/obese,-0.09466416251
Body Fat,Overweight/obese,-0.09466416251
Body Mass,Overweight/obese,-0.09466416251
Fasting Insulin,Overweight/obese,-0.09466416251
HDL,Overweight/obese,-0.09466416251
HOMA-IR,Overweight/obese,-0.09466416251
LDL,Overweight/obese,-0.09466416251
Total Cholesterol,Overweight/obese,-0.09466416251
VO2max,Overweight/obese,-0.09466416251
Body Mass,Overweight/obese,-1.43891128
Fasting Glucose,Overweight/obese,-1.43891128
Fasting Insulin,Overweight/obese,-1.43891128
HDL,Overweight/obese,-1.43891128
LDL,Overweight/obese,-1.43891128
Total Cholesterol,Overweight/obese,-1.43891128
Triglycerides,Overweight/obese,-1.43891128
