endpoint,population,age,duration,type_exercise,Mean_HIIE,Mean_MICT,desired_effect
Body Mass,Healthy,21,4,Cycling,-0.2,-0.7,decrease
Body Mass,Healthy,21,4,Cycling,0.3,-0.7,decrease
BMI,Healthy,22,4,Cycling,0.1,-0.1,decrease
Body Fat,Healthy,22,4,Cycling,1.6,-0.7,decrease
Body Mass,Healthy,22,4,Cycling,0.5,-0.5,decrease
Fasting Glucose,Healthy,22,4,Cycling,-0.2,0,decrease
Fasting Insulin,Healthy,22,4,Cycling,5.2,19.1,decrease
HDL,Healthy,22,4,Cycling,-0.1,0,increase
HOMA-IR,Healthy,22,4,Cycling,0.13,0.53,decrease
Total Cholesterol,Healthy,22,4,Cycling,-0.3,0.1,decrease
VO2max,Healthy,22,4,Cycling,5.7,2.2,increase
Body Mass,Healthy,24.6,8,Running,-1.5,-2.3,decrease
Body Mass,Healthy,24.6,8,Running,-0.8,-2.3,decrease
HDL,Healthy,24.6,8,Running,-0.06,0.05,increase
LDL,Healthy,24.6,8,Running,0,-0.09,decrease
Total Cholesterol,Healthy,24.6,8,Running,0.15,0.132,decrease
Triglycerides,Healthy,24.6,8,Running,-0.1,-0.14,decrease
VO2max,Healthy,24.6,8,Running,4.9,1,increase
VO2max,Healthy,24.6,8,Running,3.9,1,increase
VO2max,Healthy,24,7.5,Cycling,1.73,5.38,increase
BMI,Healthy,47.5,2,Cycling,-0.2,0,decrease
Body Fat,Healthy,47.5,2,Cycling,-1,-0.8,decrease
Body Mass,Healthy,47.5,2,Cycling,-0.5,0,decrease
Diastolic Blood Pressure,Healthy,47.5,2,Cycling,0,1,decrease
Fasting Glucose,Healthy,47.5,2,Cycling,0.4,0.2,decrease
Fasting Insulin,Healthy,47.5,2,Cycling,1,1.3,decrease
HbA1c,Healthy,47.5,2,Cycling,-1.3,-3.2,decrease
HDL,Healthy,47.5,2,Cycling,-0.2,-0.1,increase
LDL,Healthy,47.5,2,Cycling,-0.6,-0.2,decrease
Systolic Blood Pressure,Healthy,47.5,2,Cycling,1,3,decrease
Total Cholesterol,Healthy,47.5,2,Cycling,-0.7,-0.3,decrease
Triglycerides,Healthy,47.5,2,Cycling,-0.1,-0.2,decrease
VO2max,Healthy,47.5,2,Cycling,2,1,increase
BMI,T2D,47,2,Cycling,-0.1,0,decrease
Body Fat,T2D,47,2,Cycling,-1.1,-0.5,decrease
Body Mass,T2D,47,2,Cycling,-0.2,-0.1,decrease
Diastolic Blood Pressure,T2D,47,2,Cycling,-6,-5,decrease
Fasting Glucose,T2D,47,2,Cycling,-0.3,0.2,decrease
Fasting Insulin,T2D,47,2,Cycling,-0.9,-1,decrease
HbA1c,T2D,47,2,Cycling,-2.2,-1.7,decrease
HDL,T2D,47,2,Cycling,-0.2,-0.1,increase
LDL,T2D,47,2,Cycling,-0.2,-0.2,decrease
Systolic Blood Pressure,T2D,47,2,Cycling,-2,-9,decrease
Total Cholesterol,T2D,47,2,Cycling,-0.5,-0.2,decrease
Triglycerides,T2D,47,2,Cycling,-0.2,-0.2,decrease
VO2max,T2D,47,2,Cycling,1.9,-0.9,increase
C-reactive Protein,Healthy,23.5,2,Cycling,-0.03183,-0.16,decrease
HOMA-IR,Healthy,23.5,2,Cycling,-0.53,0.01,decrease
BMI,Metabolic Syndrome,50.85,8,Running,-0.3,-0.5,decrease
Body Mass,Metabolic Syndrome,50.85,8,Running,-0.8,-1.1,decrease
Diastolic Blood Pressure,Metabolic Syndrome,50.85,8,Running,-7.1,-7.8,decrease
Fasting Glucose,Metabolic Syndrome,50.85,8,Running,-0.7,-0.8,decrease
Flow-mediated Dilation,Metabolic Syndrome,50.85,8,Running,6.1,2.9,increase
HDL,Metabolic Syndrome,50.85,8,Running,1.4,3.1,increase
LDL,Metabolic Syndrome,50.85,8,Running,-5.9,-3.2,decrease
Systolic Blood Pressure,Metabolic Syndrome,50.85,8,Running,-9.4,-10.6,decrease
Total Cholesterol,Metabolic Syndrome,50.85,8,Running,-25,-7,decrease
Triglycerides,Metabolic Syndrome,50.85,8,Running,-30.6,-15.4,decrease
Body Fat,Overweight/obese,43,12,Cycling,-0.5,-1,decrease
Body Mass,Overweight/obese,43,12,Cycling,0.2,-0.8,decrease
C-reactive Protein,Overweight/obese,43,12,Cycling,0.2,-1.1,decrease
Diastolic Blood Pressure,Overweight/obese,43,12,Cycling,-2.9,-3.5,decrease
Fasting Glucose,Overweight/obese,43,12,Cycling,-0.1,0.1,decrease
Fasting Insulin,Overweight/obese,43,12,Cycling,-0.6,-0.7,decrease
HDL,Overweight/obese,43,12,Cycling,0,0,increase
LDL,Overweight/obese,43,12,Cycling,0,0.3,decrease
Systolic Blood Pressure,Overweight/obese,43,12,Cycling,-5.6,-4.3,decrease
Total Cholesterol,Overweight/obese,43,12,Cycling,0,0.2,decrease
Triglycerides,Overweight/obese,43,12,Cycling,0,-0.1,decrease
VO2max,Overweight/obese,43,12,Cycling,5.1,4.3,increase
Diastolic Blood Pressure,Cardiac Rehabilitation,59,10,Running,-7,0,decrease
Systolic Blood Pressure,Cardiac Rehabilitation,59,10,Running,-9,2,decrease
VO2max,Cardiac Rehabilitation,59,10,Running,3.6,1.7,increase
C-reactive Protein,Cardiac Rehabilitation,58.6,6,Running,-1.14,-1.72,decrease
HDL,Cardiac Rehabilitation,58.6,6,Running,0,-0.07,increase
LDL,Cardiac Rehabilitation,58.6,6,Running,-46.57,-30.64,decrease
Total Cholesterol,Cardiac Rehabilitation,58.6,6,Running,-45.67,-26.752,decrease
Triglycerides,Cardiac Rehabilitation,58.6,6,Running,4.5,19.79,decrease
VO2max,Cardiac Rehabilitation,58.6,6,Running,6.46,2.47,increase
Body Mass,Healthy,64,2,Cycling,-0.3,0,decrease
Diastolic Blood Pressure,Healthy,64,2,Cycling,-2,-3,decrease
Flow-mediated Dilation,Healthy,64,2,Cycling,-1.6,-1.9,increase
Systolic Blood Pressure,Healthy,64,2,Cycling,-7,-2,decrease
VO2max,Healthy,64,2,Cycling,2.2,1.7,increase
Fasting Glucose,Healthy,26.36,5,Running,2.43,-0.98,decrease
BMI,Overweight/obese,49.1,12,Running,0,-0.1,decrease
BMI,Overweight/obese,49.1,12,Running,-0.1,-0.1,decrease
Body Fat,Overweight/obese,49.1,12,Running,-0.5,-0.5,decrease
Body Fat,Overweight/obese,49.1,12,Running,-1.1,-0.5,decrease
Diastolic Blood Pressure,Overweight/obese,49.1,12,Running,-3.4,-1.9,decrease
Diastolic Blood Pressure,Overweight/obese,49.1,12,Running,-5.4,-1.9,decrease
HDL,Overweight/obese,49.1,12,Running,-1,-2,increase
HDL,Overweight/obese,49.1,12,Running,-2,-2,increase
HOMA-IR,Overweight/obese,49.1,12,Running,0.01646841,-0.1339599,decrease
HOMA-IR,Overweight/obese,49.1,12,Running,-0.0215641,-0.1339599,decrease
Systolic Blood Pressure,Overweight/obese,49.1,12,Running,-2.9,-5.2,decrease
Systolic Blood Pressure,Overweight/obese,49.1,12,Running,-6.5,-5.2,decrease
Total Cholesterol,Overweight/obese,49.1,12,Running,-1,-16,decrease
Total Cholesterol,Overweight/obese,49.1,12,Running,-7,-16,decrease
Triglycerides,Overweight/obese,49.1,12,Running,-1,-6,decrease
Triglycerides,Overweight/obese,49.1,12,Running,8,-6,decrease
VO2max,Overweight/obese,49.1,12,Running,1.4,-1.3,increase
VO2max,Overweight/obese,49.1,12,Running,0.2,-1.3,increase
Body Fat,Healthy,23.6,6,Cycling,-1.8,-1.1,decrease
Body Mass,Healthy,23.6,6,Cycling,-1.1,-0.3,decrease
VO2max,Healthy,23.6,6,Cycling,5.4,5.5,increase
BMI,Cardiac Rehabilitation,58,12,Running,0.1,0,decrease
C-reactive Protein,Cardiac Rehabilitation,58,12,Running,-1.25,-0.13,decrease
Fasting Glucose,Cardiac Rehabilitation,58,12,Running,-0.15,0.05,decrease
Flow-mediated Dilation,Cardiac Rehabilitation,58,12,Running,3.35,5.1,increase
HbA1c,Cardiac Rehabilitation,58,12,Running,0,-0.1,decrease
HDL,Cardiac Rehabilitation,58,12,Running,0.05,0.1,increase
LDL,Cardiac Rehabilitation,58,12,Running,-0.15,-0.1,decrease
Total Cholesterol,Cardiac Rehabilitation,58,12,Running,0,0.05,decrease
Triglycerides,Cardiac Rehabilitation,58,12,Running,-0.05,0.15,decrease
VO2max,Cardiac Rehabilitation,58,12,Running,3.55,1.65,increase
BMI,T2D,69.2,16,Cycling,-0.2,0.2,decrease
Body Fat,T2D,69.2,16,Cycling,-1,-1.2,decrease
Body Mass,T2D,69.2,16,Cycling,-0.1,0.6,decrease
Fasting Glucose,T2D,69.2,16,Cycling,0.3,0.4,decrease
HbA1c,T2D,69.2,16,Cycling,-0.1,-0.2,decrease
HDL,T2D,69.2,16,Cycling,0.1,0.1,increase
LDL,T2D,69.2,16,Cycling,0.1,-0.2,decrease
Total Cholesterol,T2D,69.2,16,Cycling,-0.1,-0.2,decrease
Triglycerides,T2D,69.2,16,Cycling,0,-0.1,decrease
Body Mass,Overweight/obese,33.45,12,Cycling,-1.3,-0.8,decrease
VO2max,Overweight/obese,33.45,12,Cycling,2.8,2.9,increase
BMI,Healthy,29.2,8,Cycling,0.1,-0.3,decrease
Body Fat,Healthy,29.2,8,Cycling,-0.2,-1.1,decrease
Body Mass,Healthy,29.2,8,Cycling,0.2,-0.9,decrease
Diastolic Blood Pressure,Healthy,29.2,8,Cycling,-6,-3,decrease
Systolic Blood Pressure,Healthy,29.2,8,Cycling,-3,-2,decrease
VO2max,Healthy,29.2,8,Cycling,8.6,5.4,increase
Body Fat,Metabolic Syndrome,47.5,8,Cycling,-0.6,-0.4,decrease
Body Mass,Metabolic Syndrome,47.5,8,Cycling,-0.9,-0.9,decrease
Diastolic Blood Pressure,Metabolic Syndrome,47.5,8,Cycling,-2,1,decrease
Fasting Glucose,Metabolic Syndrome,47.5,8,Cycling,-3,-8,decrease
Fasting Insulin,Metabolic Syndrome,47.5,8,Cycling,-2.6,-2.5,decrease
HbA1c,Metabolic Syndrome,47.5,8,Cycling,-1,-2,decrease
HDL,Metabolic Syndrome,47.5,8,Cycling,3,3,increase
HOMA-IR,Metabolic Syndrome,47.5,8,Cycling,-1,-1.2,decrease
LDL,Metabolic Syndrome,47.5,8,Cycling,5,0,decrease
Systolic Blood Pressure,Metabolic Syndrome,47.5,8,Cycling,1,2,decrease
Total Cholesterol,Metabolic Syndrome,47.5,8,Cycling,2,4,decrease
Triglycerides,Metabolic Syndrome,47.5,8,Cycling,-28,-2,decrease
VO2max,Metabolic Syndrome,47.5,8,Cycling,7,4.4,increase
BMI,T2D,61.5,10,Running,-1.1,-0.2,decrease
Body Fat,T2D,61.5,10,Running,-2.2,-2.6,decrease
Body Mass,T2D,61.5,10,Running,-2.1,-0.5,decrease
Diastolic Blood Pressure,T2D,61.5,10,Running,2,0,decrease
Fasting Glucose,T2D,61.5,10,Running,-1.05,-0.99,decrease
Flow-mediated Dilation,T2D,61.5,10,Running,2,1.3,increase
HDL,T2D,61.5,10,Running,0.31,0.08,increase
HOMA-IR,T2D,61.5,10,Running,-0.6,-0.5,decrease
LDL,T2D,61.5,10,Running,-0.73,-0.57,decrease
Systolic Blood Pressure,T2D,61.5,10,Running,-12,-5,decrease
Total Cholesterol,T2D,61.5,10,Running,-0.49,-0.1,decrease
Triglycerides,T2D,61.5,10,Running,-0.2,-0.06,decrease
VO2max,T2D,61.5,10,Running,6.1,3.3,increase
Diastolic Blood Pressure,Overweight/obese,53.1,12,Running,-8.5,-4,decrease
Flow-mediated Dilation,Overweight/obese,53.1,12,Running,4.17,0.61,increase
Systolic Blood Pressure,Overweight/obese,53.1,12,Running,-13,-5,decrease
VO2max,Overweight/obese,53.1,12,Running,5.2,1.8,increase
BMI,Overweight/obese,40,12,Cycling,-0.4,-0.4,decrease
Body Fat,Overweight/obese,40,12,Cycling,-0.6,-0.9,decrease
Body Mass,Overweight/obese,40,12,Cycling,-1.2,-1.3,decrease
BMI,Healthy,48,2,Cycling,-0.2,0,decrease
Body Fat,Healthy,48,2,Cycling,-1,-0.8,decrease
Fasting Glucose,Healthy,48,2,Cycling,-0.1,-0.1,decrease
Fasting Insulin,Healthy,48,2,Cycling,-0.4,0.2,decrease
HbA1c,Healthy,48,2,Cycling,-1.3,-3.1,decrease
HDL,Healthy,48,2,Cycling,-0.2,-0.1,increase
LDL,Healthy,48,2,Cycling,-0.6,-0.2,decrease
Total Cholesterol,Healthy,48,2,Cycling,-0.7,-0.3,decrease
Triglycerides,Healthy,48,2,Cycling,-0.05,-0.16,decrease
VO2max,Healthy,48,2,Cycling,2,1,increase
BMI,Healthy,21.7,7,Cycling,-0.2,-0.3,decrease
Body Fat,Healthy,21.7,7,Cycling,-1.2,-0.9,decrease
Body Mass,Healthy,21.7,7,Cycling,-0.5,-0.9,decrease
C-reactive Protein,Healthy,21.7,7,Cycling,0.32,-1.15,decrease
HDL,Healthy,21.7,7,Cycling,1.5,-0.7,increase
LDL,Healthy,21.7,7,Cycling,7,0.8,decrease
Total Cholesterol,Healthy,21.7,7,Cycling,-2,2,decrease
Triglycerides,Healthy,21.7,7,Cycling,-7,7,decrease
VO2max,Healthy,21.7,7,Cycling,2.8,3.5,increase
BMI,Healthy,21,12,Cycling,-1.5,-1.7,decrease
Body Fat,Healthy,21,12,Cycling,-1.9,-1.7,decrease
Body Mass,Healthy,21,12,Cycling,-3.9,-4.2,decrease
VO2max,Healthy,21,12,Cycling,4.1,3.8,increase
VO2max,Healthy,27,6,Cycling,0.28,0.29,increase
Body Fat,Metabolic Syndrome,56.5,16,Running,-0.5,-0.4,decrease
Body Mass,Metabolic Syndrome,56.5,16,Running,-1,-1,decrease
Diastolic Blood Pressure,Metabolic Syndrome,56.5,16,Running,-4,-5,decrease
Fasting Glucose,Metabolic Syndrome,56.5,16,Running,0.1,-0.4,decrease
Fasting Insulin,Metabolic Syndrome,56.5,16,Running,-15,-25,decrease
HbA1c,Metabolic Syndrome,56.5,16,Running,0.2,-1.2,decrease
HDL,Metabolic Syndrome,56.5,16,Running,0.08,0.08,increase
HOMA-IR,Metabolic Syndrome,56.5,16,Running,-0.3,-0.5,decrease
Systolic Blood Pressure,Metabolic Syndrome,56.5,16,Running,-2,-7,decrease
Triglycerides,Metabolic Syndrome,56.5,16,Running,-0.13,-0.11,decrease
VO2max,Metabolic Syndrome,56.5,16,Running,3.6,0.8,increase
BMI,Metabolic Syndrome,56,16,Running,-1,0,decrease
Body Fat,Metabolic Syndrome,56,16,Running,-1.02,-0.42,decrease
Body Mass,Metabolic Syndrome,56,16,Running,-3,0,decrease
Diastolic Blood Pressure,Metabolic Syndrome,56,16,Running,-9,-6,decrease
Fasting Glucose,Metabolic Syndrome,56,16,Running,-0.17,-0.37,decrease
HDL,Metabolic Syndrome,56,16,Running,0,0.03,increase
LDL,Metabolic Syndrome,56,16,Running,0.41,0.06,decrease
Systolic Blood Pressure,Metabolic Syndrome,56,16,Running,-1,-9,decrease
Total Cholesterol,Metabolic Syndrome,56,16,Running,0.42,0,decrease
Triglycerides,Metabolic Syndrome,56,16,Running,-0.16,-0.02,decrease
VO2max,Metabolic Syndrome,56,16,Running,4.35,0.8,increase
BMI,Metabolic Syndrome,52,2,Cycling,-0.3,-0.1,decrease
Body Mass,Metabolic Syndrome,52,2,Cycling,-0.7,-1.4,decrease
Fasting Glucose,Metabolic Syndrome,52,2,Cycling,0.1,-0.3,decrease
Fasting Insulin,Metabolic Syndrome,52,2,Cycling,-0.6,0.8,decrease
HOMA-IR,Metabolic Syndrome,52,2,Cycling,0,0.1,decrease
VO2max,Metabolic Syndrome,52,2,Cycling,1.5,1.5,increase
Body Mass,Cardiac Rehabilitation,62.1,10,Running,-0.1,-0.8,decrease
Diastolic Blood Pressure,Cardiac Rehabilitation,62.1,10,Running,1,0,decrease
Systolic Blood Pressure,Cardiac Rehabilitation,62.1,10,Running,-3,-1,decrease
VO2max,Cardiac Rehabilitation,62.1,10,Running,6,2.7,increase
BMI,Healthy,25.2,8,Running,-0.2,-0.1,decrease
Body Fat,Healthy,25.2,8,Running,-0.2,-0.5,decrease
Body Mass,Healthy,25.2,8,Running,-0.4,-0.6,decrease
Fasting Glucose,Healthy,25.2,8,Running,-0.2,-0.2,decrease
Fasting Insulin,Healthy,25.2,8,Running,0.3,-4.1,decrease
HDL,Healthy,25.2,8,Running,0,-0.1,increase
HOMA-IR,Healthy,25.2,8,Running,0,-0.1,decrease
LDL,Healthy,25.2,8,Running,-0.3,0,decrease
Total Cholesterol,Healthy,25.2,8,Running,-0.3,-0.1,decrease
Triglycerides,Healthy,25.2,8,Running,-0.07,0.07,decrease
VO2max,Healthy,25.2,8,Running,2.6,1.8,increase
BMI,Overweight/obese,35.2,8,Cycling,0,0,decrease
Body Fat,Overweight/obese,35.2,8,Cycling,-0.8,-0.3,decrease
Body Mass,Overweight/obese,35.2,8,Cycling,-0.1,0,decrease
C-reactive Protein,Overweight/obese,35.2,8,Cycling,0.5,0.4,decrease
Fasting Glucose,Overweight/obese,35.2,8,Cycling,-3,2.4,decrease
Fasting Insulin,Overweight/obese,35.2,8,Cycling,-2.2,-2.3,decrease
Flow-mediated Dilation,Overweight/obese,35.2,8,Cycling,3.8,-0.4,increase
HDL,Overweight/obese,35.2,8,Cycling,1,-0.7,increase
HOMA-IR,Overweight/obese,35.2,8,Cycling,-0.6,-0.5,decrease
LDL,Overweight/obese,35.2,8,Cycling,4.9,2.6,decrease
Total Cholesterol,Overweight/obese,35.2,8,Cycling,5,4.8,decrease
Triglycerides,Overweight/obese,35.2,8,Cycling,-3.2,23.6,decrease
VO2max,Overweight/obese,35.2,8,Cycling,4.1,3.1,increase
Body Mass,Healthy,21,6,Cycling,0,0,decrease
VO2max,Healthy,21,6,Cycling,6.6,7,increase
BMI,Healthy,21.5,6,Cycling,0,0,decrease
Body Mass,Healthy,21.5,6,Cycling,0.1,0,decrease
VO2max,Healthy,21.5,6,Cycling,3.2,6.5,increase
BMI,T2D,49,2,Cycling,-0.2,-0.2,decrease
Body Fat,T2D,49,2,Cycling,-1,-0.9,decrease
Body Mass,T2D,49,2,Cycling,-0.5,-0.4,decrease
Fasting Glucose,T2D,49,2,Cycling,-0.1,0.2,decrease
Fasting Insulin,T2D,49,2,Cycling,0.1,0.3,decrease
HbA1c,T2D,49,2,Cycling,-1.8,-2,decrease
VO2max,T2D,49,2,Cycling,1.3,-0.1,increase
BMI,Overweight/obese,38.7,2,Cycling,0,0,decrease
Body Fat,Overweight/obese,38.7,2,Cycling,-1.1,0.1,decrease
Diastolic Blood Pressure,Overweight/obese,38.7,2,Cycling,-3,-1,decrease
Fasting Glucose,Overweight/obese,38.7,2,Cycling,0.16,-0.34,decrease
Fasting Insulin,Overweight/obese,38.7,2,Cycling,0.24,0.21,decrease
HOMA-IR,Overweight/obese,38.7,2,Cycling,0.15,-0.12,decrease
Systolic Blood Pressure,Overweight/obese,38.7,2,Cycling,-1,0,decrease
VO2max,Overweight/obese,38.7,2,Cycling,-0.4,0,increase
BMI,Metabolic Syndrome,53.7,16,Running,-0.7,-1.2,decrease
Body Mass,Metabolic Syndrome,53.7,16,Running,-2.3,-3.6,decrease
Diastolic Blood Pressure,Metabolic Syndrome,53.7,16,Running,-6,-6,decrease
Fasting Glucose,Metabolic Syndrome,53.7,16,Running,-0.3,0.4,decrease
Fasting Insulin,Metabolic Syndrome,53.7,16,Running,2,1.3,decrease
Flow-mediated Dilation,Metabolic Syndrome,53.7,16,Running,10.32,5.81,increase
HDL,Metabolic Syndrome,53.7,16,Running,0.15,0.06,increase
Systolic Blood Pressure,Metabolic Syndrome,53.7,16,Running,-9,-10,decrease
Triglycerides,Metabolic Syndrome,53.7,16,Running,0.05,0.2,decrease
VO2max,Metabolic Syndrome,53.7,16,Running,11.7,5.6,increase
Body Fat,Healthy,21.7,15,Cycling,-2.7,0.6,decrease
Body Mass,Healthy,21.7,15,Cycling,-1.5,-0.1,decrease
Fasting Glucose,Healthy,21.7,15,Cycling,-0.2,-0.1,decrease
Fasting Insulin,Healthy,21.7,15,Cycling,-6,-1,decrease
HOMA-IR,Healthy,21.7,15,Cycling,-1.2,-0.3,decrease
VO2max,Healthy,21.7,15,Cycling,7.6,6,increase
Diastolic Blood Pressure,Healthy,48.5,24,Running,-2,-1,decrease
Systolic Blood Pressure,Healthy,48.5,24,Running,1,4,decrease
BMI,Overweight/obese,43.5,4,Running,-0.1,-0.3,decrease
Body Fat,Overweight/obese,43.5,4,Running,0.4,-0.1,decrease
Body Mass,Overweight/obese,43.5,4,Running,-0.3,-1,decrease
Fasting Glucose,Overweight/obese,43.5,4,Running,-3,-21.4,decrease
Fasting Insulin,Overweight/obese,43.5,4,Running,0.5,-7.5,decrease
HDL,Overweight/obese,43.5,4,Running,3.4,-1.4,increase
HOMA-IR,Overweight/obese,43.5,4,Running,0.02,-3.3,decrease
LDL,Overweight/obese,43.5,4,Running,-10.7,-0.5,decrease
Total Cholesterol,Overweight/obese,43.5,4,Running,-3,-2.4,decrease
Triglycerides,Overweight/obese,43.5,4,Running,22.1,-2.6,decrease
VO2max,Overweight/obese,43.5,4,Running,-0.2,0.1,increase
VO2max,Cardiac Rehabilitation,75.45,12,Running,6,1.9,increase
